		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	ET 	Samp	Tx 	Recept	Int.
27/06/12	5:10 a	19.2	19.3	19.1	65	12.4	0.0	---	0.00	0.0	---	19.2	19.1	19.1	17.6	839.2	0.00	0.0	0	0.00	0	0.8	0.06	0.9	0.000	0.006	24.8	45	12.0	24.5	0.00	228	1	100.0	10
27/06/12	5:20 a	19.1	19.1	19.1	65	12.4	0.0	---	0.00	0.0	---	19.1	19.1	19.1	17.5	839.3	0.00	0.0	0	0.00	0	0.8	0.06	0.9	0.000	0.005	24.7	45	12.0	24.5	0.00	228	1	100.0	10
27/06/12	5:30 a	19.1	19.1	18.9	68	13.0	0.0	---	0.00	0.0	---	19.1	19.1	19.1	17.6	839.3	0.00	0.0	0	0.00	0	0.8	0.06	0.9	0.000	0.005	24.7	46	12.3	24.4	0.00	228	1	100.0	10
27/06/12	5:40 a	18.9	18.9	18.8	69	13.1	0.0	---	0.00	0.0	---	18.9	18.9	18.9	17.4	839.3	0.00	0.0	0	0.00	0	0.8	0.06	0.8	0.000	0.004	24.7	46	12.3	24.4	0.00	228	1	100.0	10
27/06/12	5:50 a	18.6	18.8	18.4	71	13.2	0.0	---	0.00	0.0	---	18.6	18.6	18.6	17.1	839.5	0.00	0.0	0	0.00	0	0.8	0.06	0.8	0.000	0.002	24.6	46	12.2	24.4	0.00	228	1	100.0	10
27/06/12	6:00 a	18.4	18.4	18.3	72	13.2	0.0	---	0.00	0.0	---	18.4	18.4	18.4	16.9	839.6	0.00	0.0	0	0.00	0	0.8	0.06	0.8	0.000	0.000	24.7	47	12.6	24.5	0.00	228	1	100.0	10
27/06/12	6:10 a	18.2	18.3	18.2	73	13.3	0.0	---	0.00	0.0	---	18.2	18.3	18.3	17.4	839.6	0.00	0.0	1	0.01	5	0.8	0.06	0.8	0.001	0.000	24.6	47	12.5	24.4	0.00	228	1	100.0	10
27/06/12	6:20 a	18.1	18.2	18.1	73	13.2	0.0	---	0.00	0.0	---	18.1	18.2	18.2	17.5	839.8	0.00	0.0	8	0.11	12	0.8	0.06	0.8	0.002	0.000	24.6	48	12.9	24.5	0.00	228	1	100.0	10
27/06/12	6:30 a	18.1	18.2	18.1	73	13.2	0.0	S	0.00	0.4	S	18.1	18.2	18.2	17.7	839.8	0.00	0.0	18	0.26	25	0.8	0.06	0.9	0.002	0.000	24.6	48	12.9	24.5	0.00	228	1	100.0	10
27/06/12	6:40 a	18.2	18.3	18.2	72	13.1	0.0	---	0.00	0.0	---	18.2	18.3	18.3	18.3	839.8	0.00	0.0	35	0.50	42	0.9	0.06	0.9	0.001	0.000	24.6	48	12.9	24.5	0.00	228	1	100.0	10
